"buyer_product_id","buyer_id","product_id"
"26","14","12"
"30","18","17"
"32","20","9"
"33","20","12"
"34","20","10"
"35","21","26"
"36","22","26"
"37","22","2"
"38","22","59"
"39","22","20"
"40","23","9"
"41","23","35"
"42","23","12"
"43","23","10"
"44","24","26"
"45","24","21"
"46","24","25"
"47","24","20"
"48","25","3"
"49","26","9"
"50","26","10"
"51","26","19"
"52","27","48"
"53","28","25"
"54","28","41"
"55","28","20"
"56","28","19"
"57","29","41"
"58","29","20"
"59","29","19"
"60","30","9"
"61","30","12"
"62","31","25"
"63","31","20"
"65","33","17"
"66","34","17"
"67","35","17"
"68","35","19"
"69","36","31"
"70","37","1"
"71","37","59"
"72","40","17"
"73","41","13"
"74","42","11"
"75","42","17"
"76","43","20"
"77","43","19"
"78","44","17"
"79","44","19"
"80","45","26"
"81","46","6"
"82","47","25"
"83","48","58"
"84","49","15"
"85","49","19"
"86","51","31"
"87","51","11"
"88","51","17"
"89","52","9"
"90","53","23"
"91","53","20"
"92","53","17"
"93","53","19"
"94","54","11"
"95","55","20"
"96","55","19"
"97","56","17"
"98","57","25"
"99","57","10"
"100","57","20"
"101","57","17"
"102","57","15"
"103","57","19"
"104","58","17"
"105","59","31"
"106","60","1"
"107","60","5"
"109","62","48"
"111","64","12"
"112","64","20"
"113","64","19"
"114","65","17"
"115","66","26"
"116","67","25"
"118","69","26"
"119","70","55"
"122","72","25"
"123","72","10"
"124","72","20"
"125","72","17"
"126","72","19"
"127","73","11"
"128","73","12"
"129","73","17"
"130","74","11"
"131","74","12"
"132","74","25"
"133","74","20"
"134","74","19"
"135","75","9"
"136","76","16"
"137","76","2"
"138","76","5"
"141","79","9"
"142","79","13"
"143","79","11"
"144","79","10"
"145","79","17"
"146","81","13"
"147","81","11"
"148","82","12"
"150","84","11"
"151","84","12"
"152","85","11"
"153","85","17"
"154","86","11"
"155","86","12"
"156","87","11"
"157","88","11"
"158","89","9"
"159","89","10"
"160","90","11"
"161","90","12"
"162","91","11"
"163","91","12"
"164","92","23"
"165","92","11"
"166","92","20"
"167","92","17"
"168","93","59"
"169","94","26"
"173","96","11"
"174","96","12"
"175","97","17"
"176","98","41"
"177","99","56"
"178","100","17"
"179","101","25"
"180","101","20"
"181","101","17"
"182","102","12"
"183","102","25"
"184","102","14"
"185","102","10"
"186","102","20"
"187","102","17"
"188","102","15"
"189","102","19"
"190","103","17"
"191","104","26"
"193","106","9"
"194","107","13"
"195","108","11"
"196","109","17"
"197","110","26"
"198","112","20"
"199","113","11"
"200","113","12"
"201","113","17"
"202","114","58"
"203","115","26"
"204","116","12"
"205","117","4"
"206","118","19"
"207","119","11"
"208","119","12"
"209","119","17"
"211","122","12"
"212","122","14"
"213","122","10"
"214","123","26"
"215","124","26"
"216","125","13"
"217","125","12"
"218","126","20"
"219","126","19"
"220","127","17"
"221","128","17"
"222","129","11"
"224","133","17"
"225","134","9"
"226","135","17"
"227","136","13"
"228","136","11"
"229","136","12"
"230","137","12"
"231","137","25"
"232","137","20"
"233","138","25"
"234","140","25"
"235","140","17"
"236","141","9"
"237","142","25"
"238","142","19"
"239","143","12"
"240","143","20"
"241","143","17"
"242","144","17"
"243","145","9"
"244","145","12"
"247","148","26"
"248","149","17"
"249","150","11"
"250","150","12"
"251","151","12"
"252","152","2"
"253","152","59"
"254","153","26"
"255","153","17"
"256","154","12"
"257","154","20"
"258","154","17"
"259","155","26"
"260","156","55"
"262","158","20"
"263","159","19"
"265","161","17"
"267","163","12"
"268","163","25"
"269","163","14"
"270","163","10"
"271","163","20"
"272","163","17"
"273","163","15"
"274","163","19"
"275","164","12"
"276","165","2"
"277","166","26"
"278","167","48"
"279","168","17"
"280","169","17"
"281","170","9"
"282","170","21"
"283","170","12"
"284","170","20"
"285","170","17"
"286","171","55"
"287","172","24"
"288","172","25"
"289","172","17"
"290","173","2"
"291","173","5"
"292","174","11"
"294","176","48"
"295","177","17"
"296","178","20"
"297","178","17"
"299","180","12"
"300","180","25"
"301","180","10"
"302","180","20"
"303","180","17"
"304","180","19"
"305","181","26"
"306","182","26"
"307","183","11"
"308","185","17"
"309","186","16"
"310","186","4"
"311","186","5"
"312","187","17"
"313","188","17"
"314","190","2"
"315","190","5"
"316","191","26"
"318","193","11"
"319","193","12"
"320","193","20"
"321","193","17"
"322","194","10"
"323","194","17"
"324","194","15"
"325","194","19"
"326","195","11"
"327","196","24"
"328","197","9"
"329","197","11"
"330","197","10"
"331","198","23"
"332","199","24"
"339","202","13"
"340","202","17"
"341","203","11"
"342","203","20"
"343","204","11"
"344","204","12"
"345","204","20"
"346","204","19"
"347","205","11"
"348","205","17"
"349","206","20"
"350","206","19"
"351","207","26"
"352","207","20"
"353","208","11"
"354","208","24"
"355","208","25"
"357","210","11"
"362","212","11"
"363","213","12"
"364","213","20"
"365","213","17"
"366","213","19"
"367","214","23"
"368","214","13"
"369","214","11"
"370","214","18"
"371","214","17"
"372","215","9"
"374","217","26"
"375","219","12"
"376","219","17"
"377","220","4"
"378","220","5"
"379","221","2"
"380","221","59"
"381","222","11"
"382","222","12"
"383","222","20"
"384","223","13"
"385","223","11"
"386","223","12"
"387","224","6"
"388","226","12"
"391","230","11"
"392","231","19"
"393","232","11"
"394","232","12"
"395","232","20"
"396","232","17"
"397","233","37"
"400","235","2"
"401","235","5"
"402","236","9"
"403","236","10"
"404","237","2"
"405","237","5"
"406","238","23"
"407","238","13"
"408","238","25"
"409","238","20"
"410","239","25"
"411","240","11"
"412","241","26"
"413","242","26"
"414","243","26"
"415","244","11"
"416","245","20"
"417","246","26"
"418","247","20"
"419","248","11"
"420","248","17"
"421","249","17"
"422","250","13"
"423","251","24"
"424","252","26"
"425","252","17"
"426","253","26"
"427","254","20"
"428","255","17"
"429","256","41"
"430","257","24"
"431","258","13"
"432","258","11"
"433","258","12"
"434","259","37"
"435","260","11"
"436","261","23"
"437","261","17"
"438","262","26"
"439","263","26"
"440","264","26"
"441","265","11"
"442","266","26"
"443","267","11"
"444","267","12"
"445","267","20"
"446","267","17"
"448","269","37"
"449","269","2"
"450","269","5"
"451","271","26"
"452","272","7"
"453","272","35"
"454","272","2"
"455","273","26"
"456","274","31"
"457","275","17"
"458","275","19"
"459","276","12"
"460","277","7"
"461","277","10"
"462","278","11"
"463","279","12"
"464","280","9"
"465","281","26"
"466","282","11"
"467","283","15"
"468","284","26"
"469","285","26"
"470","286","26"
"471","287","17"
"472","288","5"
"473","289","26"
"474","290","2"
"475","290","5"
"476","291","17"
"477","292","40"
"478","293","7"
"479","293","2"
"480","294","40"
"481","295","37"
"482","296","17"
"483","297","13"
"484","298","35"
"485","298","2"
"486","298","5"
"487","299","35"
"488","300","17"
"489","301","2"
"490","301","5"
"491","302","37"
"492","303","2"
"493","303","6"
"494","304","26"
"495","305","2"
"497","307","17"
"498","308","11"
"499","308","12"
"500","309","9"
"501","309","12"
"502","309","10"
"503","310","12"
"504","310","10"
"505","310","20"
"506","310","17"
"507","310","19"
"508","311","11"
"509","311","12"
"510","311","17"
"511","312","20"
"512","313","47"
"513","314","9"
"514","314","21"
"515","314","12"
"516","314","17"
"517","315","20"
"518","316","9"
"519","316","11"
"520","316","12"
"521","317","12"
"522","317","20"
"523","318","10"
"524","319","17"
"525","320","11"
"526","320","12"
"527","321","14"
"528","322","12"
"529","322","20"
"530","322","19"
"531","323","17"
"532","324","11"
"533","325","26"
"534","326","26"
"535","326","20"
"536","327","48"
"537","328","48"
"540","330","26"
"542","332","12"
"544","334","26"
"545","335","9"
"546","335","12"
"547","335","20"
"548","336","48"
"549","337","12"
"550","337","10"
"551","337","17"
"552","338","9"
"553","338","12"
"554","339","11"
"555","339","12"
"556","339","17"
"559","341","11"
"560","341","17"
"561","342","11"
"562","343","20"
"563","343","17"
"564","343","19"
"565","344","11"
"566","345","9"
"567","346","9"
"568","346","13"
"569","347","48"
"570","348","48"
"571","349","26"
"572","350","12"
"573","350","17"
"574","351","17"
"575","352","21"
"576","352","20"
"577","352","19"
"578","353","48"
"580","355","11"
"581","355","12"
"582","355","20"
"583","356","48"
"584","357","26"
"585","358","12"
"586","359","17"
"587","360","25"
"588","361","21"
"589","361","20"
"590","361","19"
"591","362","17"
"592","363","9"
"593","363","12"
"594","363","10"
"595","363","20"
"596","364","26"
"597","365","31"
"598","366","48"
"599","367","17"
"600","368","2"
"601","368","59"
"602","369","26"
"603","370","48"
"604","371","31"
"605","372","21"
"606","372","20"
"607","373","21"
"608","373","12"
"609","373","20"
"610","373","17"
"611","374","17"
"612","374","19"
"613","375","11"
"617","377","13"
"618","377","11"
"619","377","20"
"621","379","12"
"622","380","17"
"623","381","26"
"624","382","11"
"625","383","11"
"626","383","17"
"627","384","48"
"628","385","14"
"629","386","48"
"632","388","57"
"633","389","11"
"634","390","15"
"635","391","15"
"636","392","12"
"637","392","10"
"638","392","20"
"639","392","17"
"640","392","19"
"644","394","26"
"645","395","17"
"646","396","57"
"651","400","40"
"652","401","3"
"653","401","1"
"655","403","48"
"656","404","55"
"657","405","55"
"660","408","57"
"662","410","55"
"663","411","48"
"664","412","55"
"667","415","48"
"668","416","55"
"669","417","57"
"670","418","4"
"671","419","3"
"674","422","57"
"676","424","48"
"678","426","55"
"679","427","55"
"680","428","55"
"681","429","55"
"682","430","55"
