"category_wise_id","category_id","product_id"
"1","1","1"
"2","1","2"
"3","1","3"
"4","1","4"
"5","1","5"
"6","1","6"
"7","1","7"
"8","1","8"
"9","1","9"
"10","2","9"
"11","1","10"
"12","2","10"
"13","1","11"
"14","2","11"
"15","1","12"
"16","2","12"
"17","1","13"
"18","2","13"
"19","1","14"
"20","1","15"
"21","3","15"
"22","1","16"
"23","3","16"
"24","2","17"
"25","5","17"
"26","2","18"
"27","2","19"
"28","5","19"
"29","2","20"
"30","5","20"
"31","2","21"
"32","5","21"
"33","5","22"
"34","2","23"
"35","5","24"
"36","7","24"
"37","2","25"
"38","5","26"
"39","3","27"
"40","3","28"
"41","3","29"
"42","3","30"
"43","4","31"
"44","3","32"
"45","3","33"
"46","3","34"
"47","1","35"
"48","1","36"
"49","1","37"
"50","1","38"
"51","1","39"
"52","1","40"
"53","5","41"
"54","8","42"
"55","8","43"
"56","8","44"
"57","8","45"
"58","8","46"
"59","8","47"
"60","8","48"
"61","8","49"
"62","3","50"
"63","3","51"
"64","3","52"
"65","3","53"
"66","8","55"
"67","8","56"
"68","8","57"
"69","8","58"
"70","1","59"
"71","6","60"
"72","6","61"
"73","6","62"
"74","6","63"
"75","6","64"
"76","6","65"
"77","6","66"
"78","5","67"
"79","5","68"
"80","5","69"
"81","6","70"
"82","5","71"
"83","1","72"
"84","1","73"
"85","2","71"
"86","1","81"
"87","8","84"
"88","8","85"
"89","3","86"
"90","6","87"
"91","1","88"
"92","3","89"
"93","7","90"
"94","5","91"
